"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.847325900E-1,-8.424590826E-1,-5.901919842E0,5.817604065E-2,5.962028143E0
8.926366430E-1,-8.557482958E-1,-5.893241882E0,4.859924316E-2,5.955247007E0
9.006017310E-1,-8.445632458E-1,-5.855927944E0,6.793308258E-2,5.916907475E0
9.084752660E-1,-8.421021700E-1,-5.829287052E0,6.526565552E-2,5.890159863E0
9.163488010E-1,-8.559018373E-1,-5.788999557E0,8.725357056E-2,5.852580373E0
9.243138890E-1,-8.596480489E-1,-5.741264820E0,1.095600128E-1,5.806300018E0
9.322179420E-1,-8.580302000E-1,-5.720484257E0,1.866407394E-1,5.787485699E0
9.401830300E-1,-8.537809253E-1,-5.658812523E0,2.739553452E-1,5.729411189E0
9.480260470E-1,-8.511751890E-1,-5.628792286E0,3.421144485E-1,5.703055681E0
9.559301000E-1,-8.314824104E-1,-5.593838692E0,4.256401062E-1,5.671292957E0
9.638951880E-1,-8.447402716E-1,-5.523959637E0,5.001811981E-1,5.610516681E0
9.717687230E-1,-8.240858316E-1,-5.481352806E0,5.707206726E-1,5.572258800E0
9.797032930E-1,-8.127517700E-1,-5.387925148E0,6.498384476E-1,5.487494223E0
9.876073460E-1,-8.225768805E-1,-5.326793671E0,7.135038376E-1,5.436952387E0
9.955724340E-1,-8.033379912E-1,-5.233025551E0,7.570476532E-1,5.348180017E0
1.003507004E0,-7.979844809E-1,-5.142280579E0,8.021678925E-1,5.265292215E0
1.011380539E0,-7.827125788E-1,-5.047246933E0,8.451595306E-1,5.177029575E0
1.019345627E0,-7.719777822E-1,-4.970223427E0,8.856306076E-1,5.107192201E0
1.027249680E0,-7.561088204E-1,-4.822777271E0,9.047250748E-1,4.964817078E0
1.035153733E0,-7.403136492E-1,-4.724705219E0,9.544887543E-1,4.876674327E0
1.043149338E0,-7.174021006E-1,-4.614201069E0,9.864759445E-1,4.772698615E0
1.051053391E0,-7.043523788E-1,-4.495454311E0,1.027628899E0,4.664894735E0
1.058987961E0,-6.986490488E-1,-4.349720001E0,1.056526184E0,4.530388743E0
1.066861496E0,-6.882758141E-1,-4.247793198E0,1.101648331E0,4.441970249E0
1.074735032E0,-6.472518444E-1,-4.134296894E0,1.132402420E0,4.335167932E0
1.082700119E0,-6.278389096E-1,-4.007050514E0,1.188979149E0,4.226618854E0
1.090573655E0,-6.229185462E-1,-3.894049406E0,1.238247871E0,4.133389176E0
1.098508225E0,-6.012418866E-1,-3.742901802E0,1.273058891E0,3.998935439E0
1.106412278E0,-5.599492788E-1,-3.500494480E0,1.295272827E0,3.774219985E0
1.114285813E0,-5.397440195E-1,-3.320360661E0,1.329606056E0,3.617177185E0
1.122250901E0,-5.063437819E-1,-3.195009708E0,1.344976425E0,3.503345922E0
1.130093918E0,-4.896349311E-1,-3.072601318E0,1.403308868E0,3.413194546E0
1.138028489E0,-4.657447934E-1,-2.921574116E0,1.387214661E0,3.267549241E0
1.145932541E0,-4.393050075E-1,-2.774324417E0,1.392361641E0,3.135049569E0
1.153928147E0,-4.126659334E-1,-2.623263359E0,1.349478722E0,2.978740782E0
1.161862717E0,-3.668434620E-1,-2.483156919E0,1.325463295E0,2.838572768E0
1.169766770E0,-3.665411472E-1,-2.325994730E0,1.289319992E0,2.684576305E0
1.177701340E0,-3.517553806E-1,-2.177335739E0,1.257706642E0,2.538966082E0
1.185574875E0,-3.393754363E-1,-2.031927824E0,1.230560303E0,2.399621851E0
1.193448411E0,-3.105478883E-1,-1.884046674E0,1.246125221E0,2.280109630E0
1.201382981E0,-2.842873931E-1,-1.752344012E0,1.222914696E0,2.155701559E0
1.209256516E0,-2.485075891E-1,-1.593861103E0,1.223103523E0,2.024384219E0
1.217221604E0,-2.127963901E-1,-1.466221094E0,1.179565430E0,1.893795449E0
1.225064621E0,-1.939687431E-1,-1.314910412E0,1.147245407E0,1.755786231E0
1.232968674E0,-1.876113117E-1,-1.181430817E0,1.130753517E0,1.646080282E0
1.240933762E0,-1.624294221E-1,-1.050043821E0,1.125302315E0,1.547669423E0
1.248837815E0,-1.472218931E-1,-9.287203550E-1,1.085239410E0,1.435945807E0
1.256772385E0,-1.276091635E-1,-7.897080183E-1,1.065411568E0,1.332300515E0
1.264676438E0,-1.202508807E-1,-6.560471058E-1,1.015523911E0,1.214967856E0
1.272580491E0,-8.951646090E-2,-5.391738415E-1,9.711160660E-1,1.114355438E0
1.280545578E0,-7.354292274E-2,-3.800289631E-1,9.011497498E-1,9.807657446E-1
1.288419114E0,-6.300628185E-2,-2.872582674E-1,8.293037415E-1,8.799044263E-1
1.296353684E0,-4.849430919E-2,-1.638642550E-1,7.408723831E-1,7.603256409E-1
1.304227219E0,-4.166617990E-2,-5.061292648E-2,6.672611237E-1,6.704738220E-1
1.312192307E0,-2.360248566E-2,5.668210983E-2,6.125793457E-1,6.156487584E-1
1.320126877E0,-1.076024771E-2,1.637798548E-1,5.989055634E-1,6.209891284E-1
1.328030930E0,7.607847452E-3,3.226586580E-1,6.012287140E-1,6.823799935E-1
1.335965500E0,-1.872837543E-2,3.250529766E-1,5.509500504E-1,6.399657394E-1
1.343839036E0,-9.405016899E-4,4.136161804E-1,5.357503891E-1,6.768365450E-1
1.351712571E0,1.126191020E-2,4.893965721E-1,5.005798340E-1,7.001542727E-1
1.359677659E0,1.988050342E-2,5.588481426E-1,4.690685272E-1,7.298847609E-1
1.367581711E0,6.315648556E-3,6.189529896E-1,4.367685318E-1,7.575681099E-1
1.375516282E0,1.605778933E-2,6.785683632E-1,4.129981995E-1,7.945315531E-1
1.383420334E0,1.763832569E-2,7.224917412E-1,3.902540207E-1,8.213425761E-1
1.391293869E0,6.731390953E-3,7.732102871E-1,3.974514008E-1,8.694061627E-1
1.399258957E0,1.453447342E-2,7.923290730E-1,3.674697876E-1,8.735162595E-1
1.407163010E0,2.013206482E-3,8.382570744E-1,3.405275345E-1,9.047861501E-1
1.415097580E0,1.969122887E-2,8.594088554E-1,3.120880127E-1,9.145328058E-1
1.423001633E0,1.495188475E-2,8.750901222E-1,2.797632217E-1,9.188436979E-1
1.430905686E0,5.004227161E-3,8.887274265E-1,2.479734421E-1,9.226875468E-1
1.438840256E0,1.891613007E-3,8.830361366E-1,2.315797806E-1,9.128995517E-1
1.446713791E0,-6.864964962E-3,8.724589348E-1,2.233877182E-1,9.006296649E-1
1.454678879E0,9.653151035E-3,8.481185436E-1,2.516698837E-1,8.847236731E-1
1.462552414E0,-1.026600599E-2,8.522598743E-1,2.857646942E-1,8.989514696E-1
1.470486985E0,-2.832317352E-2,8.205196857E-1,3.066186905E-1,8.763959027E-1
1.478452073E0,-4.000014067E-2,8.056704998E-1,3.280124664E-1,8.708025859E-1
1.486325608E0,-6.395417452E-2,7.620682716E-1,3.266773224E-1,8.315986171E-1
1.494260178E0,-4.312047362E-2,7.077264786E-1,3.191118240E-1,7.775400311E-1
1.502133713E0,-5.408269167E-2,6.628575325E-1,3.583297729E-1,7.554503770E-1
1.510037766E0,-6.562119722E-2,5.831160545E-1,4.207487106E-1,7.220525965E-1
1.518002854E0,-8.263209462E-2,5.141522884E-1,4.532117844E-1,6.903488685E-1
1.525876389E0,-9.035092592E-2,4.507610798E-1,5.329198837E-1,7.038127900E-1
1.533810959E0,-1.151601672E-1,3.763858080E-1,5.929517746E-1,7.117021481E-1
1.541715012E0,-1.313666701E-1,3.050752878E-1,5.920572281E-1,6.788666250E-1
1.549649582E0,-1.312982738E-1,2.059782743E-1,6.267347336E-1,6.726534862E-1
1.557584153E0,-1.390827894E-1,1.242271662E-1,6.323442459E-1,6.592690319E-1
1.565488205E0,-1.645290554E-1,3.738188744E-2,6.638727188E-1,6.849775196E-1
1.573422776E0,-1.568923593E-1,-7.922971249E-2,6.715030670E-1,6.941245773E-1
1.581296311E0,-1.807801425E-1,-1.665879488E-1,7.030620575E-1,7.448014912E-1
1.589200364E0,-2.051794231E-1,-2.700355053E-1,7.347431183E-1,8.092374309E-1
1.597195969E0,-1.893912256E-1,-3.779635429E-1,7.809753418E-1,8.880585345E-1
1.605069504E0,-2.269575596E-1,-4.992316961E-1,8.300189972E-1,9.948233793E-1
1.613004075E0,-2.435236573E-1,-6.197376251E-1,8.867492676E-1,1.108919636E0
1.620908127E0,-2.535229623E-1,-7.353461981E-1,9.464244843E-1,1.225041725E0
1.628873215E0,-2.832441628E-1,-8.754777908E-1,1.030938148E0,1.381854581E0
1.636807786E0,-2.970505059E-1,-1.009351254E0,1.080257416E0,1.507973820E0
1.644681321E0,-2.991546392E-1,-1.135969400E0,1.140390396E0,1.637195844E0
1.652676926E0,-3.277661502E-1,-1.265709400E0,1.175448418E0,1.758160948E0
1.660580979E0,-3.498199582E-1,-1.404669285E0,1.218971252E0,1.892448339E0
1.668423996E0,-3.409054875E-1,-1.564227819E0,1.288047791E0,2.054773061E0
1.676419602E0,-3.901231885E-1,-1.683845043E0,1.346748352E0,2.191178075E0
1.684323655E0,-3.966536522E-1,-1.830108166E0,1.347329140E0,2.306929958E0
1.692258225E0,-3.936729431E-1,-1.958585501E0,1.328225136E0,2.399003452E0
